"RENT","OMB13CBSA","CB","COSTBURDEN","HHPOC","MHINCP","HHGRAD","HHSPAN_new","HHMAR_NEW","HHRACEALL","HHSEX_NEW","HHAGE","HINCP","UTILAMT","HHIMMIGRANT","HSHLDTYPE","RATINGHS","RATINGNH","HUDSUB","BLD","LOTSIZE","UPKEEP","ADEQUACY","NUMPEOPLE","TOTROOMS","CROWD","UNIT_SIZE_NEW","RENTSUB_NEW","FS","RENTCNTRL","NHQSCHOOL","NHQPCRIME","NHQSCRIME","NEARBARCL","NEARABAND","WEIGHT"
810,5,0.273773987206823,0,0,3908.33333333333,11,0,0,"2",1,63,46900,260,0,6,7,7,3,2,3,1,1,1,6,0.166666666666667,4,0,0,0,1,0,0,0,0,239.1328129
750,5,0.148168935035779,0,0,5939.16666666667,11,0,0,"2",1,40,71270,130,0,7,8,7,3,9,1,1,1,2,5,0.4,3,0,0,0,1,1,0,0,0,234.13870289
1200,5,0.232105263157895,0,1,6333.33333333333,15,0,1,"3",0,31,76000,270,0,1,8,9,3,2,3,1,1,3,7,0.428571428571429,5,0,0,0,1,0,0,0,0,249.44741316
590,5,0.15864406779661,0,1,4916.66666666667,13,0,1,"3",0,32,59000,190,0,1,7,8,3,3,6,1,1,3,5,0.6,-1,0,1,0,0,0,1,1,0,242.80456948
420,5,0.76,1,1,750,10,0,0,"3",1,51,9000,150,0,6,10,9,2,3,3,1,1,1,4,0.25,-1,1,0,0,1,0,0,0,0,217.57281302
1400,5,0.0658064516129032,0,0,25833.3333333333,17,0,1,"2",0,34,310000,300,0,1,6,8,3,2,3,1,1,4,6,0.666666666666667,4,0,0,0,1,0,0,0,0,240.54445879
180,5,0.305,1,0,800,10,0,0,"2",1,69,9600,64,0,6,8,8,2,6,1,1,1,1,3,0.333333333333333,-1,1,0,0,-1,-1,0,0,0,192.19768524
1200,5,0.162,0,0,8333.33333333333,15,0,0,"2",1,36,100000,150,0,6,8,7,3,2,3,1,1,1,6,0.166666666666667,5,0,0,0,1,0,0,0,0,233.55810293
650,5,0.181366459627329,0,1,4025,10,0,0,"3",0,66,48300,80,0,2,7,6,3,9,1,1,1,2,5,0.4,3,1,1,0,0,1,0,0,0,222.42522032
600,5,0.232258064516129,0,1,3100,10,0,0,"3",1,29,37200,120,0,3,7,7,3,2,2,1,1,2,5,0.4,3,0,0,0,0,1,0,1,0,242.80456948
920,5,0.1,0,0,11500,15,0,0,"2",1,28,138000,230,0,7,8,7,3,2,3,1,1,2,5,0.4,-1,0,0,0,1,0,0,0,0,234.13870289
570,5,0.112695652173913,0,0,5750,15,0,0,"2",1,23,69000,78,0,6,6,6,3,4,1,1,1,1,3,0.333333333333333,-1,0,0,0,1,-1,-1,0,0,234.13870289
600,5,0.250858034321373,0,1,2670.83333333333,12,0,0,"3",1,25,32050,70,0,6,7,7,3,9,1,1,1,1,3,0.333333333333333,2,0,0,0,1,1,0,0,0,248.47733988
600,5,0.32,1,0,2500,10,0,1,"2",0,21,30000,200,0,1,7,7,3,2,3,1,1,2,4,0.5,2,0,1,0,1,0,0,0,0,239.1328129
1200,5,0.267161410018553,0,0,4491.66666666667,15,0,1,"2",0,65,53900,0,0,4,8,8,3,6,1,1,1,1,5,0.2,4,0,0,0,1,0,0,0,0,232.54281236
600,5,0.358333333333333,1,0,2400,6,1,1,"2",0,32,28800,260,1,1,7,5,3,2,3,1,3,4,4,1,-1,0,0,0,1,0,0,0,0,222.16014236
500,5,0.18,0,0,4300,11,0,0,"2",1,49,51600,274,0,3,10,10,3,2,3,1,1,3,6,0.5,5,0,0,0,1,0,0,0,0,234.13870289
680,5,0.152,0,0,5000,16,0,0,"2",0,55,60000,80,0,4,9,9,3,8,1,1,1,1,5,0.2,4,0,0,0,1,0,0,0,0,243.21717499
600,5,0.127461139896373,0,1,6433.33333333333,12,0,0,"3",0,58,77200,220,0,2,9,6,3,2,3,1,1,3,4,0.75,4,0,0,0,0,1,0,1,1,242.80456948
480,5,0.28448275862069,0,1,1933.33333333333,11,0,1,"7",0,23,23200,70,0,4,7,5,3,8,1,1,1,1,4,0.25,1,0,0,0,1,1,0,0,0,242.80456948
600,5,0.267428571428571,0,0,2916.66666666667,4,1,1,"2",0,45,35000,180,1,1,10,10,3,2,1,1,1,2,5,0.4,-1,0,0,0,1,0,0,0,0,217.52049389
550,5,0.490566037735849,1,1,1325,8,0,0,"3",0,70,15900,100,0,5,9,7,3,8,1,1,1,2,4,0.5,2,0,0,0,1,0,0,0,0,227.62185731
950,5,0.137333333333333,0,1,7500,16,0,0,"3",0,31,90000,80,0,4,7,7,3,3,3,1,1,1,6,0.166666666666667,-1,0,0,0,0,0,0,0,0,242.80456948
780,5,0.478108581436077,1,0,1903.33333333333,11,0,0,"2",1,21,22840,130,0,6,9,10,3,7,1,1,1,1,4,0.25,2,0,0,0,-1,0,0,0,0,243.21717499
450,2,0.232,0,0,2500,14,0,0,"2",1,70,30000,130,0,6,8,7,3,2,3,1,1,1,4,0.25,4,0,0,0,1,0,0,0,0,246.85777792
500,2,0.304,1,0,2500,8,0,1,"2",0,36,30000,260,0,1,9,9,3,2,6,1,1,4,6,0.666666666666667,5,1,0,0,1,0,0,0,0,268.24008901
800,2,0.731868131868132,1,0,1516.66666666667,10,0,0,"2",1,33,18200,310,0,3,10,10,3,1,6,1,1,3,5,0.6,5,0,1,0,1,0,0,0,0,235.38081966
700,6,0.184145454545455,0,0,4583.33333333333,10,0,0,"2",0,37,55000,144,0,5,9,9,3,1,5,1,1,2,5,0.4,4,1,0,0,1,0,0,0,0,348.71954566
1100,3,0.645714285714286,1,0,1750,8,1,0,"2",1,38,21000,30,0,3,6,7,3,9,1,1,1,2,4,0.5,3,0,0,0,1,0,0,0,0,358.39635172
1200,3,0.279310344827586,0,0,4833.33333333333,11,0,0,"2",0,23,58000,150,0,5,7,10,3,3,2,1,1,2,6,0.333333333333333,4,0,0,0,1,0,0,-1,0,407.78809314
680,3,0.72,1,1,1000,14,0,0,"3",0,25,12000,40,0,4,8,8,3,9,1,1,1,1,3,0.333333333333333,-1,0,0,0,1,-1,-1,-1,0,485.53837185
1400,3,0.282352941176471,0,1,5666.66666666667,10,0,0,"3",0,32,68000,200,0,5,8,10,3,2,2,1,1,2,6,0.333333333333333,4,0,-1,0,1,0,0,0,0,464.88164595
920,3,0.332571428571429,1,1,2916.66666666667,15,0,0,"3",1,32,35000,50,0,6,7,8,3,7,1,1,1,1,3,0.333333333333333,3,0,0,0,-1,0,0,0,0,480.93679199
1100,3,0.252203389830508,0,0,4916.66666666667,15,0,0,"2",1,29,59000,140,0,7,8,6,3,9,1,1,1,2,4,0.5,4,0,0,0,0,1,0,0,0,344.5423751
700,3,0.136,0,0,6250,10,1,1,"2",0,25,75000,150,0,1,8,8,3,2,2,1,1,4,6,0.666666666666667,4,1,0,0,1,0,0,0,0,451.9682669
700,10,0.415,1,0,2000,10,0,0,"2",1,61,24000,130,1,6,8,10,3,6,1,1,1,1,3,0.333333333333333,-1,0,0,0,1,0,0,0,0,701.25549809
950,10,0.24,0,0,4166.66666666667,14,0,0,"2",0,62,50000,50,0,4,8,8,3,6,1,1,1,1,4,0.25,4,0,0,0,-1,0,0,0,0,659.73379097
1900,3,0.976951672862454,1,1,2241.66666666667,10,0,0,"7",1,28,26900,290,0,6,10,9,3,2,3,1,1,1,7,0.142857142857143,7,0,0,0,1,1,1,0,0,514.56873548
1100,3,0.416666666666667,1,0,3000,10,0,1,"2",1,32,36000,150,0,1,8,8,3,5,1,1,1,2,5,0.4,-1,0,0,0,1,0,0,0,0,381.36746378
1200,10,0.3264,1,0,4166.66666666667,13,0,0,"2",0,48,50000,160,0,4,8,8,3,2,3,1,1,1,5,0.2,-1,0,0,0,1,0,0,0,0,613.55128988
590,10,0.582352941176471,1,1,1133.33333333333,13,0,0,"7",1,66,13600,70,0,6,7,6,3,7,1,1,1,1,3,0.333333333333333,-1,0,0,0,-1,1,0,0,0,649.90852023
850,3,0.261333333333333,0,1,3750,2,0,1,"3",0,39,45000,130,1,1,7,8,3,5,1,1,1,2,5,0.4,-1,0,0,0,1,0,0,0,0,492.03533334
1600,3,0.549,1,0,3333.33333333333,10,0,1,"2",0,41,40000,230,0,1,6,6,3,2,2,1,1,7,8,0.875,7,0,0,0,1,1,0,0,0,407.78809314
270,3,0.111724137931034,0,0,2416.66666666667,10,0,0,"2",0,59,29000,0,0,4,7,7,1,8,1,1,1,1,3,0.333333333333333,-1,1,1,0,1,1,1,1,1,270.39000655
1200,3,0.309375,1,0,4266.66666666667,15,1,1,"2",0,59,51200,120,0,2,8,10,3,8,1,1,1,3,5,0.6,4,0,0,0,1,0,0,0,0,368.41181141
